,Episode Title,Bob Count,Hi Bob Count,Drinks
129,S05E16 Of Mice and Men,19,0,19
130,S02E18 The Jobless Corps,17,1,19
131,S05E08 A Crime Most Foul,18,0,18
132,S06E04 Who Was That Masked Man?,17,0,17
133,S06E02 Ex-Con Job,15,1,17
134,S02E09 Mutiny on the Hartley,16,0,16
135,S06E19 It Didn't Happen One Night,16,0,16
136,S06E14 Grizzly Emily,14,0,14
137,S06E16 Group on a Hot Tin Roof,9,1,11
138,S05E12 Breaking Up Is Hard to Do,10,0,10
139,"S06E17 Emily Carlin, Emily Carlin",9,0,9
140,S06E10 A Girl in Her Twenties,6,0,6
